Title,endereco,fone,whatsapp,instagram,site
"JC Cereais","Rua Celina Lisboa Frederico, 479 - Unaí - MG","(38) 3676-8050",,,
"JCA Balanças","Rua Virgílio Justiniano Ribeiro, 345 - Unaí - MG","(38) 3676-7962",,,
"JD Center Car","Avenida Governador Valadares, 2115 - Unaí - MG","(38) 3676-2503",,,
"JF Contabilidade","Rua Aldeia, 250 - Unaí - MG","(38) 3676-4088",,,
"JHR Terraplenagem - DTERRA","Rua Professor Olímpio Gonzaga, 1 - Centro - Unaí - MG","(38) 3676-1954",,,
"JLC Cursos","Rua Celina Lisboa Frederico, 69 - Unaí - MG","(38) 3676-3982",,,
"JM Sacarias","Rua Sipotira, 51 - Unaí - MG","(38) 3677-1747",,,
"Bella Jóias Joalheria e Relógios","Avenida Governador Valadares, 1048 - Unaí - MG","(38) 3677-4620",,,
"Joel do Táxi","Rua Sebastião A Teodoro, 22 - Unaí - MG","(38) 99964-5156",,,
"Jornal Alternativo Regional","Rua Santa Clara, 785 - Unaí - MG","(38) 3676-4063",,,www.jornalalternativo.net
"Consultório Odontológico Dr Marcelino Fernando da Silva","Rua João Pinheiro, 440 - Unaí - MG","(38) 3677-7007",,,
"Consultório Odontológico Dr. Marcelo Coelho Silva","Avenida Governador Valadares, 1480 - Unaí - MG","(38) 3676-7828",,,
"Cartório do 2º Ofício de Notas","Avenida José Luiz Adjuto, 240 - Centro - Unaí - MG","(38) 3676-1380",,,
"Consultório Odontológico Dr. Marcelo Polidoro de Castro","Rua Aldeia, 255 - Centro - Unaí - MG","(38) 3676-6263",,,
"Consultório Odontológico Dr. Raulindo Rabelo Filho","Rua Natal Justino da Costa, 990 - Unaí - MG","(38) 3676-6690",,,
"Consultório Odontológico Dr. Marcelino F Silva","Rua João Pinheiro, 440 - Unaí - MG","(38) 3676-8080",,,
"Consultório Odontológico Dr. Wagton Lucas dos Santos","Rua Djalma Torres, 251 - Unaí - MG","(38) 3676-0001",,,
"Consultório Odontológico Dr. Rejane","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-4969",,,
"Consultório Odontológico Dra. Raquel Lima","Rua Calixto Martins de Melo, 142 - Unaí - MG","(38) 3676-7338",,,
"Consultório Odontológico Virgínia Maria Alves dos Santos","Rua Gerson Rodrigues Gondim, 554 - Unaí - MG","(38) 3676-5412",,,
"Consultório Odontológico FJR - Dr Fernando A de Oliveira Júnior","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3676-5888",,,
"Consultório Odontológico Glauco Melo","Rua Celina Lisboa Frederico, 373 - Unaí - MG","(38) 3677-3483",,,
"Consultório Odontológico Top Dente","Rua Djalma Torres, 61 - Unaí - MG","(38) 3676-6920",,,
"Conta Cres","Rua Canabrava, 322 - Unaí - MG","(38) 3676-4770",,,
"Contacerta Organização Contábil","Rua Celina Lisboa Frederico, 69 - Unaí - MG","(38) 3676-1388",,,
"ADS Contabilidade","Avenida José Luiz Adjuto, 378 - Unaí - MG","(38) 3676-8002",,,
"Contabilidade Rio Preto","Rua Alba Gonzaga, 136 - Unaí - MG","(38) 3676-1610",,,
"CCR Contabilidade","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-1592",,,
"Contabilidade Dinâmica","Avenida José Luiz Adjuto, 507 - Unaí - MG","(38) 3676-4611","(38) 9916-4611",https://www.instagram.com/dinamicaunai,
"Contabilidade do Adilson","Rua Nossa Senhora do Carmo, 388 - Unaí - MG","(38) 3676-3588",,,
"Contabilidade Do Carmo","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-2489",,,
"Contabilidade e Despachante W S","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-5432",,,
"Contabilidade Guimarães","Rua Calixto Martins de Melo, 150 - Unaí - MG","(38) 3676-1248",,,
"Contabilidade M M","Rua Alba Gonzaga, 576 - Unaí - MG","(38) 3676-2199",,,
"Contabilidade Modelo","Rua Celina Lisboa Frederico, 64 - Unaí - MG","(38) 3676-1374",,,
"Contabilidade Nova Opção","Rua São José, 478 - Unaí - MG","(38) 3676-6610",,,
"Rates Contabilidade","Rua Nossa Senhora do Carmo, 506 - Unaí - MG","(38) 3676-5732","(38) 98836-1911",https://www.instagram.com/ratescontabilidade,
"Real Contabilidade","Rua Prefeito João Costa, 263 - Unaí - MG","(38) 3676-3252",,,
"Contabilidade Rodrigues","Rua Djalma Torres, 649 - Unaí - MG","(38) 3676-2334",,,
"Contabilidade Santos","Rua São José, 203 - Unaí - MG","(38) 3676-0101",,,
"Contabilidade Tavares","Rua Alba Gonzaga, 745 - Unaí - MG","(38) 3676-3341",,,
"Contabilidade Versiani","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-6672",,,
"VLM Contabilidade","Rua Canabrava, 359 - Unaí - MG","(38) 3676-4507",,,
"Contac Contabilidade e Consultoria","Rua Canabrava, 36 - Unaí - MG","(38) 3677-2810",,,
Contadeu,"Rua Alba Gonzaga, 393 - Unaí - MG","(38) 3677-7173",,,
"Contaulo Contabilidade e Despachante","Rua Canabrava, 36 - Unaí - MG","(38) 3676-1143",,,
"Contepe Contabilidade","Rua João Pinheiro, 161 - Unaí - MG","(38) 3676-7619",,,
"Conterra Agronegócio","H Oliveira, 31 - Unaí - MG","(38) 3676-0106",,,
"Contex Contabilidade Exata","Rua Alba Gonzaga, 630 - Unaí - MG","(38) 3676-1980",,,
"Banco SICOOB Noroeste de Minas","Rua São José, 667 - Unaí - MG","(38) 3676-1532",,,
"Cooperativa dos Açogueiros de Unaí","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-9094",,,
"Banco SICOOB Crediparnor","Rua Celina Lisboa Frederico, 69 - Unaí - MG","(38) 3676-6633",,,
"Unaí Corretora e Administradora de Seguros","Rua Djalma Torres, 458 - Unaí - MG","(38) 3676-6655",,,
"Visual Cosméticos","Avenida Governador Valadares, 1036 - Unaí - MG","(38) 3676-6763",,,
"CRA - Conselho Regional de Administração","Rua Eduardo Rodrigues Barbosa, 180 - Unaí - MG","(38) 3676-2444",,,
"Cristal Ótica","Avenida José Luiz Adjuto, 240 - Centro - Unaí - MG","(38) 3676-7068",,,
"Cultivar Comércio Agrícola","Rua Virgílio Justiniano Ribeiro, 174 - Unaí - MG","(38) 3676-2800",,,
"Curinga dos Pneus - Pneus Goodyear","Rua Arlindo Gomes Branquinho, 1551 - Unaí - MG","(38) 3676-1618",,,
"SEBRAE - Escritório da Marcro Oeste - Cursos","Rua Nossa Senhora do Carmo, 18 - Unaí - MG",08005700800,,,
"Cursos Omega","Rua Celina Lisboa Frederico, 64 - Unaí - MG",,,,
"Dauto Peças","Av. Governador Valadares, 1418 - Centro, Unaí - MG","(38) 3676-1000","(38) 99961-1000",https://www.instagram.com/loja_dauto_pecas,
"D &amp; A Suzuki Motos","Avenida Governador Valadares, 471 - Unaí - MG","(38) 3676-4260",,,
"D &amp; A Moto Peças","Avenida Governador Valadares, 1323 - Unaí - MG","(38) 3676-5870",,,
"D Máquinas Comércio de Peças","Rua Paracatu, 2 - Unaí - MG","(38) 3676-4837",,,
"D Presentes Decorações","Avenida Governador Valadares, 1090 - Unaí - MG","(38) 3676-6996",,,
"D&amp;D Design de Interiores","Rua Francisco R. da Silva, 40 - Unaí - MG","(38) 3676-4585",,,
"Da Vinci Centro de Música e Arte","Rua Princesa Isabel, 150 - Unaí - MG","(38) 3676-2028",,,
"DAC Serviço de Limpeza","Rua Alba Gonzaga, 931 - Unaí - MG","(38) 3677-5074",,,
"Dalva Garcia Presentes","Rua Alba Gonzaga, 246 - Unaí - MG","(38) 3677-7070",,,
"Sandra Interiores e Móveis","Rua São José, 263 - Centro - Unaí - MG","(38) 99987-3015","(38) 9987-3015",https://www.instagram.com/sinteriores,
"Estação Comercial Agrícola","Rodovia Br 251, KM 876, 150 - Unaí - MG","(38) 3676-9080",,,
"Delícia Malícia Moda Íntima","Praça São Cristóvão, 97 - Unaí - MG","(38) 3676-5444",,,
"Delta Embalagens","Rua Nossa Senhora do Carmo, 662 - Unaí - MG","(38) 3677-6252",,,
"Hênio Heitor de Miranda Júnior - Dentista","Rua Canabrava, 66 - Unaí - MG","(38) 3676-2276",,,
"Dentista - Késsio Genei","Rua Alba Gonzaga, 365 - Unaí - MG","(38) 3676-2836",,,
"Dentista - Marcelo Felício de Araujo","Rua Eli Pinto de Carvalho, 241 - Unaí - MG","(38) 3676-8079",,,
"Dentista - Silésia Braga Balbino","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3676-1424",,,
"Sorria Sempre Odontologia","Rua Alba Gonzaga, 336 - Unaí - MG","(38) 3676-7988",,,
"Dentista Anamaria","Rua Djalma Torres, 251 - Unaí - MG","(38) 3676-2559",,,
"Dentista - Dra Mariana Souza Duque Adjuto","Rua Alba Gonzaga, 239 - Unaí - MG","(38) 3676-1309",,,
"Departamento de Limpeza Urbana","Rua Luiz Alves, 700 - Unaí - MG","(38) 3677-5006",,,
"Depósito Castelo Forte","Rua Jabuticabas, 242 - Unaí - MG","(38) 3677-3603",,,
"Disk Caçamba Baratão","Rod Mg 188, 240 - Unaí - MG","(38) 3676-2077",,,
"Disk Caçamba","Rod Mg 188, 240 - Unaí - MG","(38) 3676-5174",,,
"Depóstio São Vicente","João Mendes Cordeiro, 10 - Unaí - MG","(38) 3676-6769",,,
Dermatoclínica,"Rua Vicente Rocha Costa, 89 - Unaí - MG","(38) 3676-5504",,,
"Desafio Tecidos","Avenida Governador Valadares, 943 - Unaí - MG","(38) 3676-2592",,,
"Design Modas","Avenida Governador Valadares, 1217 - Unaí - MG","(38) 3676-4295",,,
"Despachante Bandeirante","Avenida José Luiz Adjuto, 235 - Centro - Unaí - MG","(38) 3676-5884",,,
"Despachante da Cleide","Rua José do Patrocínio, 634 - Unaí - MG","(38) 3676-3321",,,
"Dinho Despachante","Avenida José Luiz Adjuto, 349 - Centro - Unaí - MG","(38) 3676-6340",,,
"Despachante Emplacar","Rua Alba Gonzaga, 214 - Unaí - MG","(38) 3676-7301",,,
"Despachante Globo","Rua Canabrava, 114 - Unaí - MG","(38) 3676-3312",,,
"Despachante Líder","Rua Alba Gonzaga, 16 - Unaí - MG","(38) 3676-3444",,,
"Despachante Unaí","Rua Aldeia, 179 - Unaí - MG","(38) 3676-3471",,,
"Despachante Wander","Rua Canabrava, 451 - Unaí - MG","(38) 3676-1540",,,
"Destak Calçados","Avenida Governador Valadares, 1084 - Unaí - MG","(38) 3676-2427",,,
"Destaque Festa","Costa e Silva, 22 - Unaí - MG","(38) 3676-7150",,,
"Destaque Gesso","Rua Canabrava, 642 - Unaí - MG","(38) 3677-1397",,,
"Destral - Desmatamento e Transporte Ltda","Rua Ouvidor, 183 - Unaí - MG","(38) 3676-2152",,,
"Detetizadora ASL","Rua Morada Nova, 29 - Unaí - MG","(38) 3677-2924",,,
"Di Casa Móveis e Eletrodomésticos","Rua Alba Gonzaga, 440 - Unaí - MG","(38) 3676-5753",,,
"Digital Cartuchos e Informática","Rua Nossa Senhora do Carmo, 692 - Unaí - MG","(38) 3676-9091",,,
"Dipemag Máquinas Agrícolas","Rodovia Br 251, Km 903 689 - Unaí - MG","(38) 3676-5470",,,
"Dipel Distribuidora de Peças Elétricas","Rua Virgílio Justiniano Ribeiro, 1193 - Unaí - MG","(38) 3676-2951",,,
"Direção Certa Corretora e Administradora de Seguros","Rua Nossa Senhora do Carmo, 224 - Unaí - MG","(38) 3677-5657",,,
"Alumaq Locação de Equipamentos e Caçambas","Rua Natal Justino da Costa, 1009 - Unaí - MG","(38) 3676-5200",,,
"Disk Carroça","Avenida São João, 264 - Unaí - MG","(38) 3676-8196",,,
"Disk Marmitex Califórnia","Rua Patos de Minas, 1008 - Unaí - MG","(38) 3677-3126",,,
"Disk Mudanças","Rua Roncador, 598 - Unaí - MG","(38) 3676-2688",,,
"Disk Paz","Rua Marcos Lopes, 170 - Unaí - MG","(38) 3676-9199",,,
"Disk Táxi Aguimar Passarinho","Rua Santa Rita, 85 - Unaí - MG","(38) 99961-4787",,,
"Brasfrut Unaí","Rua Canabrava, 316 - Unaí - MG","(38) 3677-6067","(38) 98838-8343",https://www.instagram.com/brasfrutunai/,https://www.brasfrut.com.br
"Distribuidora de Bebidas Mineiro","Rua Júlia Lara, 181 - Unaí - MG","(38) 3676-3237",,,
"Distribuidora de Bebidas Nute - Nova Schin","Rua C, 100 - Unaí - MG","(38) 3676-8500",,,
"Distribuidora de Bebidas Unaí","Rua Prefeito João Costa, 828 - Unaí - MG","(38) 3676-1406",,,
"Distribuidora Regional de Gás Trinta Trinta","Rua Alba Gonzaga, 585 - Unaí - MG","(38) 3677-4247",,,
"Diva Calçados","Rua Djalma Torres, 251 - Unaí - MG","(38) 3676-3735",,,
"Farmácia Droganor","Rua Alba Gonzaga, 176 - Centro - Unaí, MG","(38) 3676-8255","(38) 99878-8338",https://www.instagram.com/droganorunai,
"Drogaria Avenida","Avenida Governador Valadares, 48 - Unaí - MG","(38) 3676-4041",,,
"Drogaria Mineirão","Rua Virgílio Justiniano Ribeiro, 1678 - Unaí - MG","(38) 3676-0020",,,
"Drogaria Pague Menos","Rua Prefeito João Costa, 343 - Unaí - MG","(38) 3676-9646",,,
"Drogaria Popular","Avenida Governador Valadares, 629 - Unaí - MG","(38) 3676-6767","(38) 99240-6767",https://instagram.com/drogariapopular_unai/,
"Drogaria Hiper Pharma","Rua Luiz Alves, 450 - Unaí - MG","(38) 3676-2556",,,
"Drogaria São José","Avenida Governador Valadares, 880 - Unaí - MG","(38) 3676-2112",,,
"Farmácia Drogasil","Avenida Governador Valadares, 1106 - Unaí - MG","(38) 3676-4668","(61) 99648-766",https://www.instagram.com/drogasiloficial,
"Dru Sign Impressão","Rua São José, 72 - Unaí - MG","(38) 3676-6918",,,
"Du Sítio Indústria de Alimentos","Rua Brasília, 184 - Unaí - MG","(38) 3676-8016",,,
Duavesso,"Avenida Governador Valadares, 995 - Unaí - MG","(38) 3676-0202",,,
"EC Decor Interiores","Rua Natal Justino da Costa, 483 - Unaí - MG","(38) 99963-3056",,,
"Correios - Rua Canabrava","Rua Canabrava, 730 - Unaí - MG","(38) 3676-7400",,,
"Correios - Rua Nossa Senhora do Carmo","Rua Nossa Senhora do Carmo, 09 - Unaí - MG","(38) 3676-4322",,,
"Ekpar Auto Peças","Rua Professor Olímpio Gonzaga, 70 - Unaí - MG","(38) 3676-3416",,,
"Élcia Matos Centro de Beleza","Avenida José Luiz Adjuto, 760 - Unaí - MG","(38) 3677-2516",,,
"Auto Elétrica Unaí","Rua Capim Branco, 27 - Unaí - MG","(38) 3676-3850",,,
"Elétrica Padrão","Rua Canabrava, 1214 - Unaí - MG","(38) 3676-4854",,,
"Rafael Eletricista","Rua Palmeiras, 133 - Unaí - MG","(38) 3676-9839",,,
"Eletro Bonfim Móveis Novos e Usados","Rua Patos de Minas, 743 - Unaí - MG","(38) 3677-4241",,,
"Elétrica Hidráulica Nacional","Avenida Governador Valadares, 1884 - Unaí - MG","(38) 3676-4455",,,
"Auto Elétrica Rodarte","Rua Alba Gonzaga, 501 - Unaí - MG","(38) 3676-4415",,,
"Elétrica Só Luz","Avenida Governador Valadares, 1772 - Unaí - MG","(38) 3676-3479",,,
"Eletro Chaveiro","Rua São José, 202 - Unaí - MG","(38) 3676-2376","(38) 99921-1384",,
"Eletro Chaveiro Unaí","Avenida Castelo Branco, 23 - Unaí - MG","(38) 3676-4353",,,
"Eletro Chaves","Avenida José Luiz Adjuto, 777 - Unaí - MG","(38) 3676-5289","(38) 98429-2807",,
"Eletro Patos","Rua São José, 331 - Unaí - MG","(38) 3676-1809","(38) 99961-2919",,
"Eletro Frio","Rua Alba Gonzaga, 750 - Unaí - MG","(38) 3676-2799",,,
"Eletro Pedro","Rua Virgílio Justiniano Ribeiro, 398 - Unaí - MG","(38) 3676-6864",,,
"Eletro Santa Clara","Rod Mg 188, 750 - Unaí - MG","(38) 3677-6062",,,
"Eletro Sat","Avenida Governador Valadares, 449 - Unaí - MG","(38) 3676-8676",,,
"Eletro Unaí","Avenida Governador Valadares, 1432 - Unaí - MG","(38) 3676-2065",,,
Eletrocon,"Rua Nossa Senhora do Carmo, 661 - Unaí - MG","(38) 3676-3253",,,
Eletrogás,"Rua Roncador, 897 - Unaí - MG","(38) 3676-5520",,,
"Eletroluz Oliveira","Avenida Governador Valadares, 1072 - Unaí - MG","(38) 3676-1266",,,
"Eletromecânica Cometa","Avenida Governador Valadares, 1868 - Unaí - MG","(38) 3677-1987",,,
"Eletrônica Digital","Avenida Governador Valadares, 15 - Unaí - MG","(38) 3676-6789",,,
"Eletrônica Silvânio","Rua Canabrava, 675 - Unaí - MG","(38) 3676-1950",,,
"Eletrônica Teleson","Rua Cachoeira, 505 - Unaí - MG","(38) 3676-2312",,,
"Eletrônica Vídeo Center","Avenida Governador Valadares, 1315 - Unaí - MG","(38) 3676-9603",,,
"Rede Eletrosom","Avenida Governador Valadares, 1099 - Unaí - MG","(38) 3676-7286",,,
Eletrozema,"Avenida Governador Valadares, 860 - Unaí - MG","(38) 3677-4500",,,
"Eletrovera Móveis e Eletrodomésticos","Rua Natal Justino da Costa, 163 - Unaí - MG","(38) 3676-4327",,,
"Limpeza &amp; Cia - Distribuidora e Embalagens","Rua Juvêncio Correio, 455 - Unaí - MG","(38) 3676-4554",,,
"Engenharia - Neto Técnico Edificações","Avenida Vereador João Narciso, 27 - Unaí - MG","(38) 3677-4588",,,
"Engepar Empreendimentos e Participações","Praça Getúlio Vargas, 89 - Unaí - MG","(38) 3676-5882",,,
"Época Produtos Agrícolas","Rua Celina Lisboa Frederico, 64 - Unaí - MG","(38) 3676-3405",,,
"Enxovais São Sebastião","Rua Djalma Torres, 36 - Unaí - MG","(38) 3676-5091",,,
"Ervadoce Manipulação","Avenida Governador Valadares, 1258 - Unaí - MG","(38) 3676-3611",,,
"Sérgio Pintor e Noroeste Gesso","Rua Domingos Pinto Brochado, 977 - Unaí - MG","(38) 3676-2427",,,
"Escavações Colúmbia","Rua Arlindo Gomes Branquinho, 75 - Unaí - MG","(38) 3677-4518",,,
"Escola Chapéuzinho Vermelho","Rua Djalma Torres, 577 - Unaí - MG","(38) 3676-7810",,,
"Escola Estadual Delvito Alves da Silva","Avenida Delvito Alves, 888 - Unaí - MG","(38) 3676-4340",,,
"Escola Estadual Dom Eliseu","Rua Santa Luzia, 398 - Unaí - MG","(38) 3676-0944",,,
"Escola Estadual Domingos Pinto Brochado","Avenida Governador Valadares, 787 - Centro - Unaí - MG","(38) 3676-1909",,,
"Escola Estadual Israel Pinheiro","Rua Salustiano CaldeiraUnaí - MG","(38) 3676-4133",,,
"Escola Estadual Izabel Campos Martins","Rua Frei Francisco, 218 - Unaí - MG","(38) 3676-1175",,,
"Escola Estadual Manoela Faria Soares","Rua Luiz Alves, 844 - Unaí - MG","(38) 3676-3488",,,
"Escola Estadual Tancredo Neves","Rua Djalma Torres, 1650 - Unaí - MG","(38) 3676-2346",,,
"Escola Estadual Teófilo Martins Ferreira","Rua Princesa Isabel, 200 - Unaí - MG","(38) 3676-2175",,,
"Escola Estadual Vigário Torres","Avenida Governador Valadares, 280 - Unaí - MG","(38) 3676-2146",,,
"Escola Estadual Virgílio de Melo Franco","Rua Natal Justino da Costa, 560 - Unaí - MG","(38) 3676-4570",,,
"Escola Fisk - Idiomas","Rua Celina Lisboa Frederico, 606 - Unaí - MG","(38) 3676-6664",,,
"Escola Infantil Turminha do Pooh","Avenida Delvito Alves, 943 - Unaí - MG","(38) 3677-2449",,,
"Escola Mundo Mágico","Rua Orquídeas, 20 - Unaí - MG","(38) 3677-5992",,,
"Escola Municipal Professora Glória Moreira","Praça Aduílio ValadãoUnaí - MG","(38) 3677-4466",,,
"Escola Municipal Ciro Maciel","Rua Nelson C. BrazUnaí - MG","(38) 3677-1980",,,
"Escola Municipal Eva Maria Vieira","Povoado PalmerinhaUnaí - MG","(38) 3677-5329",,,
"Escola Municipal Jovelmira Vasconcelos","Rua Laranjeiras, 152 - Unaí - MG","(38) 3677-5173",,,
"Escola Municipal Nenê Gaia","Rua Laranjeiras, 152 - Unaí - MG","(38) 3677-5173",,,
"Escola Municipal Pinóquio","Rua Filadelfo de Souza PintoUnaí - MG","(38) 3677-2898",,,
"Escola Municipal Tomáz P. Silva","Rua Maria Diva LelisUnaí - MG","(38) 3677-5842",,,
"Escola Pequeno Polegar","Rua Celina Lisboa FredericoUnaí - MG","(38) 3677-5201",,,
"Escola Supletivo CESEC","Rua Djalma Torres, 577 - Unaí - MG","(38) 3676-4230",,,
"Escola Técnica de Paracatu","Avenida Governador Valadares, 1441 - Unaí - MG","(38) 3676-9455",,,
"Escola Ursinho Carinhoso","Rua Eduardo Rodrigues Barbosa, 39 - Unaí - MG","(38) 3677-5097",,,
"Escola Pedacinho do Céu","Rua Abaeté, 66 - Unaí - MG","(38) 3677-2919",,,
"Escritório de Contabilidade do Luizinho","Rua Canabrava, 647 - Unaí - MG","(38) 3676-1460",,,
"Escritório de Contabilidade Reicont","Rua São José, 327 - Unaí - MG","(38) 3676-2059",,,
"Escritório de Fazenda Por do Sol","Rua José do Patrocínio, 704 - Unaí - MG","(38) 3676-2307",,,
"Escritório do Cota","Rua Alba Gonzaga, 22 - Unaí - MG","(38) 3676-5433",,,
"Escritório do Márcio Pinheiro Franco","Rua Roncador, 644 - Unaí - MG","(38) 3676-3806",,,
"Escritório do Tarcísio","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-1250",,,
"Escritório de Assessoria Jurídica em Cobrança","Rua Canabrava, 308 - Unaí - MG","(38) 3676-3212",,,
"Escritório Fazenda Pontal","Rua Roncador, 309 - Unaí - MG","(38) 3676-3023",,,
"Escritório Paulista","Rua Celina Lisboa Frederico, 111 - Unaí - MG","(38) 3676-4784",,,
"Escritório SR Danilo Júlio Gato","Rua José do Patrocínio, 704 - Unaí - MG","(38) 3676-4811",,,
"Escritório SR Ricardo Rodrigues","Rua Celina Lisboa Frederico, 354 - Unaí - MG","(38) 3676-1502",,,
"Escritório SR Tobias de Souza Osório","Rua São Paulo, 49 - Unaí - MG","(38) 3676-1925",,,
"Esierre Serviços Auto Peças","Rua São José, 543 - Unaí - MG","(38) 3676-7090",,,
"Espaço do Artista","Rua Nossa Senhora do Carmo, 314 - Unaí - MG","(38) 3676-1304",,,
"Espaço do Bebê","Avenida Governador Valadares, 731 - Unaí - MG","(38) 3676-1926",,,
"Espaço Livre","Rua Djalma Torres, 865 - Unaí - MG","(38) 3676-1958",,,
"Espaço Kalahari","Rua E, Q6, 8 - Setor de Chácaras - Unaí - MG","(38) 9939-7134","(38) 9939-7134",https://www.instagram.com/kalahari_charlottebuffet,
"Estação Calçados","Avenida Governador Valadares, 1385 - Unaí - MG","(38) 3676-9005",,,
"Estilos Cabeleireiro","Rua Rio Preto, 159 - Unaí - MG","(38) 3676-3930",,,
"Estofados Comando","Rua Roncador, 608 - Unaí - MG","(38) 3676-8829","(38) 9963-3056",https://www.instagram.com/estofadosmdf_comando,https://www.estofadoscomando.com.br/empresa
"Estofados Alauênio","Rua Roncador, 640 - Unaí - MG","(38) 3677-2954",,,
"Estofados Lopes","Avenida Otávio Araújo, 328 - Canaã - Unaí - MG","(38) 3676-4685",,,
"SL Estofados","Rua Águas Marinhas, 199 B - Unaí - MG","(38) 3676-3585",,,
"Estofados Tapeçaria Silva","Avenida Santos Dumont, 517 - Unaí - MG","(38) 3676-3415",,,
"Estofados Tapeçaria Ribeiro","Rua Aldeia, 557 - Centro - Unaí - MG",,,,
"Estofados Unaí","Avenida Governador Valadares, 2488 - Unaí - MG","(38) 3676-9065",,,
"Estradeiro Peças e Serviços","Rua Virgílio Justiniano Ribeiro, 1515 - Unaí - MG","(38) 3676-5054",,,
"Estruturas Metálicas Metal Quines","Avenida Cabo Verde, 321 - Unaí - MG","(38) 3676-6442",,,
"Eucaliptus e Cia","Rua Canabrava, 1090 - Cachoeira - Unaí, MG","(38) 99952-5766","(38) 99952-5766",https://www.instagram.com/eucaliptusecia,https://www.eucaliptusecia.com.br
"Evando Cereais","Rua Djalma Torres, 277 - Unaí - MG","(38) 3676-7471",,,
"Everesty Confecções","Avenida Governador Valadares, 1081 - Unaí - MG","(38) 3676-1762",,,
"Tribo do Som Eventos",,"(38) 99961-0647",,,
"Comercial Líder","Rua Dr Joaquim Brochado, 174 - Capim Branco, Unaí - MG","(38) 3676-1218","(38) 99963-0285",,
"Evidência Programa Radar Video Maker","Rua Eli Pinto de Carvalho, 221 - Unaí - MG","(38) 3677-2244",,,
"Evolusom Som Automotivo","Avenida Governador Valadares, 2795 - Unaí - MG","(38) 99800-3602",,,
"Laboratório Santa Mônica","Avenida José Luiz Adjuto, 325 - Unaí - MG","(38) 3676-8960","(38) 99902-8960",https://www.instagram.com/laboratoriosantamonic,https://santamonicalaboratorio.com.br
"Exatus Assessoria Contábil","Rua José do Patrocínio, 740 - Unaí - MG","(38) 3676-2707",,,
"Expresso Burger","Rua Patos de Minas, 162 - Unaí - MG","(38) 99944-5454",,,
"Expresso Gás","Rua Abaeté, 26 - Unaí - MG","(38) 3676-3060",,,
"Expresso Noroeste","Avenida Belo Horizonte, 888 - Unaí - MG","(38) 3676-1768",,,
"Extintores - Unaí Baterias","Avenida Governador Valadares, 1370 - Unaí - MG","(38) 3676-2841",,,
"Universal Extintores","Rua Professor Olímpio Gonzaga, 154 - Unaí - MG","(38) 3676-4438",,,
"Extravagância Moda Grande Feminina","Rua Nossa Senhora do Carmo, 129 - Unaí - MG","(38) 3677-7212",,,
"Extratos da Estética","Rua Presidente Bernardes, 766 - Unaí - MG","(38) 3676-3432",,,
"Extremo Visual Salão de Beleza","Rua Celina Lisboa Frederico, 437 - Unaí - MG","(38) 3677-3455",,,
"Frango Delícia","Rua Djalma Torres, 75 - Unaí - MG","(38) 3676-1330",,,
"Fuzue Moda Infantil","Avenida Governador Valadares, 549 - Unaí - MG","(38) 3676-5105",,,
"G Cinco Sound Car","Avenida São João, 590 - Unaí - MG","(38) 3676-9141",,,
"G4 Trasportes","Avenida Governador Valadares, 1016 - Unaí - MG","(38) 3677-5555",,,
"Gabriella Modas","Avenida Governador Valadares, 904 - Unaí - MG","(38) 3676-1553",,,
"Galante Pneus","Rua Eli Pinto de Carvalho, 192 - Unaí - MG","(38) 3676-4080",,,
"Gama Gás","Praça Getúlio Vargas, 197 - Unaí - MG","(38) 3676-1391",,,
"Garagem Salem","Rua Paracatu, 681 - Unaí - MG","(38) 3676-8254",,,
"Minas Gás e Água Mineral","Rua Alba Gonzaga, 250 - Unaí - MG","(38) 3676-1382",,,
"Gata Melada","Avenida Delvito Alves, 601 - Unaí - MG","(38) 3676-2964",,,
"GD Lan House","Rua Patos de Minas, 375 - Unaí - MG","(38) 3677-3241",,,
"Geladão Distribuidora de Bebidas","Rua Arminda Rangel, 106 - Unaí - MG","(38) 3676-9095",,,
Gelmaq,"Avenida José Luiz Adjuto, 469 - Unaí - MG","(38) 3676-2180",,,
Gelmáquinas,"Avenida Governador Valadares, 1421 - Unaí - MG","(38) 3676-3397",,,
"Gelo Resende","Avenida José Luiz Adjuto, 1169 - Unaí - MG","(38) 3676-2042",,,
"Gelo Sosó e Sorveteria","Rua Patos de Minas, 101 - Unaí - MG","(38) 3676-2270",,,
"Gelogás e Água Mineral","Rua Celina Lisboa Frederico, 964 - Unaí - MG","(38) 3676-5454",,,
"Gesiva Auto Mecânica","Rua Paracatu, 38 - Unaí - MG","(38) 3676-2229",,,
"Planejar Gesso","Rua Djalma Torres, 1660 - Unaí - MG","(38) 99905-2270",,,
"GIS - Grupo de Integração Social","Rua Maria Galdina, 78 - Canaã - Unaí - MG","(38) 3676-1538",,,
